id,name,slug,refNo,nationality,dateOfBirth,placeOfBirth,age,sex,height,weight,complexion,religion,maritalStatus,numberOfChildren,qualification,englishLevel,arabicLevel,otherLanguages,passportNo,passportExpiry,passportIssuePlace,yearsOfExperience,experienceCountry,currentLocation,contractType,monthlyFee,currency,availableFrom,elderlyCare,specialNeedsCare,babysittingOlderThan1Year,babysittingYoungerThan1Year,cookingSyrianLebanese,cookingGulf,cookingInternational,cookingOther,privateRoom,liveOut,workingOnDayOff,hasCat,hasDog,image,images,video,cv,cityId,countryId,latitude,longitude,phone,email,whatsapp,notes,duties,metaTitle,metaDescription,isActive,isFeatured,isVerified,isAvailable,views,inquiries,createdAt,updatedAt
maid-ijah-hodijah-ajat-suhaemi,IJAH HODIJAH AJAT SUHAEMI,ijah-hodijah-ajat-suhaemi,IJAH,Indonesia,"1993-05-10T00:00:00.000Z",Indonesia,31,Female,160,58,Medium,Muslim,Married,2,Primary,Beginner,Intermediate,,ID9876543,"2027-06-20T00:00:00.000Z",Indonesia,6,UAE Abu Dhabi,UAE Abu Dhabi,Monthly,1700,AED,,false,false,true,false,false,true,true,,true,false,false,false,false,👩🏽,,,,city-dubai,country-uae,,,0523456789,,,Good with children and household management.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.900Z","2025-11-27T20:13:18.780Z"
maid-mary-kamau,MARY KAMAU,mary-kamau,MARY,Kenya,"1990-10-23T17:00:00.000Z",Kenya,36,Female,156,59,Dark,Muslim,Married,2,Primary,Beginner,Fluent,,KE4122200,"2027-08-02T17:00:00.000Z",Kenya,13,Dubai,Dubai,Monthly,1618,AED,,true,true,true,true,true,true,true,,true,false,true,true,true,👩🏿,,,,city-dubai,country-uae,,,0515205737,,,Experienced domestic worker from Kenya.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,true,true,true,0,0,"2025-11-27T20:09:39.906Z","2025-11-27T20:13:18.781Z"
maid-sarah-fernando,SARAH FERNANDO,sarah-fernando,SARA,Sri Lanka,"1991-02-19T17:00:00.000Z",Sri Lanka,34,Female,164,51,Medium,Christian,Single,0,Secondary,Intermediate,Intermediate,,SR8106893,"2025-10-02T17:00:00.000Z",Sri Lanka,10,Abu Dhabi,Abu Dhabi,Monthly,1609,AED,,false,false,true,false,false,false,false,,false,false,false,false,false,👩🏽,,,,city-dubai,country-uae,,,0549032180,,,Experienced domestic worker from Sri Lanka.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.912Z","2025-11-27T20:13:18.781Z"
maid-fatima-nakato,FATIMA NAKATO,fatima-nakato,FATI,Uganda,"1999-09-04T17:00:00.000Z",Uganda,25,Female,172,63,Dark,Hindu,Married,1,High School,Fluent,Beginner,,UG5663645,"2025-11-12T17:00:00.000Z",Uganda,10,Dubai,Dubai,Monthly,1972,AED,,false,false,true,true,false,true,false,,true,false,false,false,false,👩🏿,,,,city-dubai,country-uae,,,0554801259,,,Experienced domestic worker from Uganda.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.919Z","2025-11-27T20:13:18.781Z"
maid-priya-tamang,PRIYA TAMANG,priya-tamang,PRIY,Nepal,"1996-11-19T17:00:00.000Z",Nepal,29,Female,163,61,Fair,Muslim,Single,0,Primary,Beginner,Fluent,,NE1496216,"2026-07-04T17:00:00.000Z",Nepal,13,Abu Dhabi,Abu Dhabi,Monthly,1811,AED,,true,false,true,false,false,false,true,,false,false,false,true,false,👩🏻,,,,city-dubai,country-uae,,,0519325324,,,Experienced domestic worker from Nepal.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.925Z","2025-11-27T20:13:18.781Z"
maid-sunita-begum,SUNITA BEGUM,sunita-begum,SUNI,Bangladesh,"1992-06-12T17:00:00.000Z",Bangladesh,37,Female,160,65,Medium,Christian,Married,0,Secondary,Intermediate,Intermediate,,BA4826508,"2026-08-11T17:00:00.000Z",Bangladesh,9,Dubai,Dubai,Monthly,1900,AED,,false,false,true,true,true,true,false,,true,false,true,false,false,👩🏽,,,,city-dubai,country-uae,,,0558784775,,,Experienced domestic worker from Bangladesh.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.930Z","2025-11-27T20:13:18.781Z"
maid-amina-sharma,AMINA SHARMA,amina-sharma,AMIN,India,"1999-11-19T17:00:00.000Z",India,25,Female,174,51,Fair,Hindu,Single,0,High School,Fluent,Beginner,,IN1450834,"2027-05-10T17:00:00.000Z",India,5,Abu Dhabi,Abu Dhabi,Monthly,1571,AED,,false,true,true,false,false,false,false,,false,false,false,false,true,👩🏻,,,,city-dubai,country-uae,,,0552925401,,,Experienced domestic worker from India.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,true,true,true,0,0,"2025-11-27T20:09:39.935Z","2025-11-27T20:13:18.781Z"
maid-grace-mensah,GRACE MENSAH,grace-mensah,GRAC,Ghana,"1996-12-10T17:00:00.000Z",Ghana,30,Female,155,63,Dark,Muslim,Married,2,Primary,Beginner,Fluent,,GH6557285,"2025-09-26T17:00:00.000Z",Ghana,12,Dubai,Dubai,Monthly,1605,AED,,true,false,true,true,false,true,true,,true,false,false,true,false,👩🏿,,,,city-dubai,country-uae,,,0546113311,,,Experienced domestic worker from Ghana.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.940Z","2025-11-27T20:13:18.781Z"
maid-rose-hassan,ROSE HASSAN,rose-hassan,ROSE,Tanzania,"1995-08-20T17:00:00.000Z",Tanzania,35,Female,170,67,Dark,Christian,Single,0,Secondary,Intermediate,Intermediate,,TA9630481,"2025-06-07T17:00:00.000Z",Tanzania,14,Abu Dhabi,Abu Dhabi,Monthly,2041,AED,,false,false,true,false,false,false,false,,false,false,false,false,false,👩🏿,,,,city-dubai,country-uae,,,0594553720,,,Experienced domestic worker from Tanzania.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.946Z","2025-11-27T20:13:18.781Z"
maid-aisha-ngono,AISHA NGONO,aisha-ngono,AISH,Cameroon,"1994-05-24T17:00:00.000Z",Cameroon,32,Female,162,64,Dark,Hindu,Married,1,High School,Fluent,Beginner,,CA1285436,"2027-05-15T17:00:00.000Z",Cameroon,12,Dubai,Dubai,Monthly,1793,AED,,false,false,true,true,true,true,false,,true,false,true,false,false,👩🏿,,,,city-dubai,country-uae,,,0579302759,,,Experienced domestic worker from Cameroon.,"["Cleaning","Washing","Ironing","Cooking","Babysitting"]",,,true,false,true,true,0,0,"2025-11-27T20:09:39.952Z","2025-11-27T20:13:18.781Z"
