id,email,emailVerified,password,firstName,lastName,phone,avatar,locale,timezone,isActive,createdAt,updatedAt
user-admin-super,admin@justrichard.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Admin,Super,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-admin-001,admin@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,John,Admin,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-yacht-001,yacht.owner@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Richard,YachtOwner,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-property-001,property.owner@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Sarah,PropertyOwner,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-car-001,car.rental@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Michael,CarRental,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-doctor-001,doctor@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Dr Emma,Doctor,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-lawyer-001,lawyer@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,David,Lawyer,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-coach-001,coach@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Lisa,Coach,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-customer-001,user1@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Alice,Customer,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-customer-002,user2@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Bob,Customer,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-customer-003,user3@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Charlie,Customer,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-customer-004,user4@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Diana,Customer,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
user-customer-005,user5@test.com,,$2a$10$yb72EYgFmECbtiRM4.I7zOD9Ke5NT7XmugYteGFxBA0Voxhxvo7Om,Eric,Customer,,,en,UTC,true,"2025-11-27T20:21:06.185Z","2025-11-27T20:21:06.185Z"
